original_smiles,radical_smiles,I,A,philicity,predicted_philicity
CCC1=CC(=CC=C1)S,CCC1=C[C]=CC(=C1)S,9.138983081644987,0.8276571445676013,1.493954125833635,1.4927647218676863
C1=CN2C=NC=C2C(=C1)Br,C1=CN2C=N[C]=C2C(=C1)Br,9.433218596023291,1.1263577521565706,1.6778999725174126,1.6733938946983382
CC1=CC(=NO1)C(=O)CCl,CC1=[C]C(=NO1)C(=O)CCl,11.331237852139855,2.1217028358469747,2.456443414818328,2.423803646769115
C[C@@H](C(=O)F)N,[CH2][C@@H](C(=O)F)N,9.3283524278948,0.2929722423581322,1.2806584574963211,1.2805361247225797
C[C@@H](C(=O)F)N,C[C](C(=O)F)N,7.824738833324266,0.3334121694422452,1.1105414095881092,1.1216893692199665
CCC1=CC(=CC=C1)S,CCC1=CC=CC(=[C]1)S,9.142144664603393,1.0509367119074149,1.605120467728686,1.5960481338972836
[2H]C([2H])([2H])OC1=CC=CC=C1C=O,COc1ccccc1[C]=O,7.941455914105505,-0.4769313911753614,0.8273426419581695,0.8216073778548398
C1=C(C(=NC=N1)Cl)F,[C]1=NC=NC(=C1F)Cl,9.927921802934032,1.650613565799736,2.024548280737834,2.0171823136739664
[2H]C([2H])([2H])OC1=CC=CC=C1C=O,COC1=C[C]=CC=C1C=O,9.573913272558467,1.0919561039856729,1.6765112004309364,1.6774598461521433
C1=C(C(=NC=N1)Cl)F,C1=N[C]=NC(=C1F)Cl,9.896661097385062,0.8189960041154933,1.5811514571361796,1.583130787335377
[2H]C([2H])([2H])OC1=CC=CC=C1C=O,COC1=[C]C=CC=C1C=O,9.770009754802109,1.4835586618564778,1.9103896331480847,1.908344901454797
[2H]C([2H])([2H])OC1=CC=CC=C1C=O,COC1=CC=C[C]=C1C=O,9.491291972955816,0.8901513864709074,1.5662801511803648,1.5966235080560764
[2H]C([2H])([2H])OC1=CC=CC=C1C=O,COC1=CC=[C]C=C1C=O,9.407945817739437,0.8781289473846774,1.5504924619401983,1.550961152118173
C1=CN2C=NC=C2C(=C1)Br,[C]1=Cn2cncc2C(=C1)Br,9.673760190118529,1.85164438981908,2.1227464876920124,2.143151634311044
CCC1=CC(=CC=C1)S,CCC1=CC=[C]C(=C1)S,9.283022101064573,1.0713588494574555,1.63202632620667,1.602424287834269
[2H]C([2H])([2H])OC1=CC=CC=C1C=O,[CH2]Oc1ccccc1C=O,8.157476422038,0.12132546949583,1.0660974570416466,1.060216927112807
C1=CN2C=NC=C2C(=C1)Br,C1=[C]n2cncc2C(=C1)Br,9.443647072115288,2.310087983745956,2.420781233673103,2.449229369860225
CN1C=CC(=N1)CCl,[CH2]n1ccc(n1)CCl,7.604718700076327,0.4230476403829843,1.1216928462984224,1.1511301532450384
C1=C(NC(=O)C=N1)Br,C1=C(NC(=O)[C]=N1)Br,9.231083336190553,1.045645769577496,1.6127904014580308,1.6199852308261917
C1=C(NC(=O)C=N1)Br,[C]1=C(NC(=O)C=N1)Br,9.935688583962005,1.4640446134054836,1.9174837467028467,1.927510345615876
CN1C=CC(=N1)CCl,Cn1ccc(n1)[CH]Cl,7.240135344386807,0.4232774202474257,1.0768871790842922,1.0813309111924152
COC1=CC=CC(=C1Br)O,[CH2]Oc1cccc(c1Br)O,7.926768840280424,-0.1062464710743011,0.9517062982688836,0.9479768474305241
C1=CN=C(C=C1C#N)CO,[C]1=C(C=C(N=C1)CO)C#N,10.675107604911728,2.1793441818984416,2.431166607874139,2.4325962475714213
C1=CN=C(C=C1C#N)CO,c1cnc(cc1C#N)[CH]O,7.6358056393667,1.2608736708718231,1.5519950475627144,1.561405442831541
C1=CN=C(C=C1C#N)CO,C1=C([C]=C(N=C1)CO)C#N,10.545580163882509,2.257746391755401,2.472376609458572,2.477946245847946
COC1=CC=CC(=C1Br)O,COC1=[C]C=CC(=C1Br)O,9.63651932305688,1.448521910221754,1.8758881590336944,1.8072887825769324
COC1=CC=CC(=C1Br)O,COC1=C[C]=CC(=C1Br)O,9.430618345062516,0.924890956773276,1.5759465358608222,1.5750072232766117
C1=CN2C=NC=C2C(=C1)Br,C1=CN2[C]=NC=C2C(=C1)Br,9.51901742345872,1.914792009709479,2.1490025453090342,2.154003068745271
C1=CN2C=NC=C2C(=C1)Br,C1=Cn2cncc2C(=[C]1)Br,9.583652696491136,1.8307195927035425,2.1006226452006427,2.090447203188562
CC1=CC(=CC(=C1N)Cl)Cl,[CH2]c1cc(cc(c1N)Cl)Cl,7.342530160378143,1.2094736283697485,1.4906264197357757,1.4974790227804
C1CC1C2=CC(=NC=C2)Cl,[CH]1C[C@H]1c1cc(ncc1)Cl,9.158947496480527,0.7897142230324274,1.4782696750028084,1.4641046773275899
CN1C=CC(=N1)CCl,CN1[C]=CC(=N1)CCl,10.608916827926397,1.8517615554135844,2.216309134377193,2.2066443899736132
CC=C=CC,[CH2]C=C=CC,7.473450724704082,0.1559585608552612,0.9943277823744742,0.9968574957547705
CC=C=CC,C[C]=C=CC,7.502226194070476,0.0090056680963467,0.9411608114905904,0.9406620813092319
CC=C=CC,CC=C=[C]C,7.502912006576703,0.0085435718838772,0.9410727101098808,0.9406620813092319
C1CC1C2=CC(=NC=C2)Cl,C1[CH][C@H]1c1cc(ncc1)Cl,8.859918183560707,0.7477731915300104,1.4223693864211453,1.4346302236013617
CC=C=CC,CC=C=C[CH2],7.470984458704042,0.1623220576044234,0.9965463783624536,0.9968574957547705
COC1=CC=CC(=C1Br)O,COC1=CC=[C]C(=C1Br)O,9.544070902213182,1.212658445455392,1.736008552864613,1.7277991097818015
C1CC1C2=CC(=NC=C2)Cl,C1CC1C1=CC=NC(=[C]1)Cl,9.65814018775771,1.622211485168786,1.9793346011130744,1.9497515551717575
